Ticker,Security_Type,Description,Use_Case,Category
NZDUSD,CURNCY,New Zealand Dollar/US Dollar,Risk-sensitive currency,Currencies
USDCNY,CURNCY,US Dollar/Chinese Yuan,China currency,Currencies
USDINR,CURNCY,US Dollar/Indian Rupee,India currency,Currencies
USDBRL,CURNCY,US Dollar/Brazilian Real,Brazil currency,Currencies
USDMXN,CURNCY,US Dollar/Mexican Peso,Mexico currency,Currencies
USDZAR,CURNCY,US Dollar/South African Rand,South Africa currency,Energy Commodities
CL1,COMDTY,WTI Crude Oil,US oil benchmark,Energy Commodities
CO1,COMDTY,Brent Crude Oil,International oil benchmark,Energy Commodities
NG1,COMDTY,Natural Gas,Natural gas futures,Energy Commodities
HO1,COMDTY,Heating Oil,Refined oil products,Energy Commodities
XB1,COMDTY,RBOB Gasoline,Gasoline futures,Precious Metals
GC1,COMDTY,Gold,Safe haven precious metal,Precious Metals
SI1,COMDTY,Silver,Industrial precious metal,Precious Metals
PL1,COMDTY,Platinum,Industrial precious metal,Precious Metals
PA1,COMDTY,Palladium,Auto industry metal,Industrial Metals
HG1,COMDTY,Copper,Economic bellwether metal,Industrial Metals
LME_AL,COMDTY,Aluminum,Industrial metal,Industrial Metals
LME_ZN,COMDTY,Zinc,Industrial metal,Industrial Metals
LME_NI,COMDTY,Nickel,Industrial metal,Agricultural Commodities
C1,COMDTY,Corn,Agricultural commodity,Agricultural Commodities
S1,COMDTY,Soybeans,Agricultural commodity,Agricultural Commodities
W1,COMDTY,Wheat,Agricultural commodity,Agricultural Commodities
CC1,COMDTY,Cocoa,Soft commodity,Agricultural Commodities
CT1,COMDTY,Cotton,Soft commodity,Agricultural Commodities
SB1,COMDTY,Sugar,Soft commodity,Agricultural Commodities
KC1,COMDTY,Coffee,Soft commodity,Economic Indicators
GDP,INDEX,US GDP,Economic output,Economic Indicators
CPI,INDEX,US Consumer Price Index,Inflation measure,Economic Indicators
PPI,INDEX,US Producer Price Index,Producer inflation,Economic Indicators
NFP,INDEX,US Nonfarm Payrolls,Employment indicator,Economic Indicators
USURTOT,INDEX,US Unemployment Rate,Labor market health,Economic Indicators
CPURNSA,INDEX,US CPI Urban Consumers NSA,Core inflation,Economic Indicators
CONSSENT,INDEX,Consumer Sentiment,Consumer confidence,Economic Indicators
LEI,INDEX,Leading Economic Indicators,Forward-looking economic data,Sector ETFs
XLF US,EQUITY,Financial Select Sector SPDR Fund,Financial sector,Sector ETFs
XLK US,EQUITY,Technology Select Sector SPDR Fund,Technology sector,Sector ETFs
XLE US,EQUITY,Energy Select Sector SPDR Fund,Energy sector,Sector ETFs
XLI US,EQUITY,Industrial Select Sector SPDR Fund,Industrial sector,Sector ETFs
XLV US,EQUITY,Health Care Select Sector SPDR Fund,Healthcare sector,Sector ETFs
XLP US,EQUITY,Consumer Staples Select Sector SPDR Fund,Consumer staples,Sector ETFs
XLY US,EQUITY,Consumer Discretionary Select Sector SPDR Fund,Consumer discretionary,Sector ETFs
XLU US,EQUITY,Utilities Select Sector SPDR Fund,Utilities sector,Sector ETFs
XLB US,EQUITY,Materials Select Sector SPDR Fund,Materials sector,Sector ETFs
XLRE US,EQUITY,Real Estate Select Sector SPDR Fund,Real estate sector,Technology/Innovation
QQQ US,EQUITY,Invesco QQQ Trust,NASDAQ 100 ETF,Technology/Innovation
ARKK US,EQUITY,ARK Innovation ETF,Innovation/disruptive tech,Technology/Innovation
SOXX US,EQUITY,iShares PHLX Semiconductor ETF,Semiconductor sector,Fixed Income ETFs
TLT US,EQUITY,iShares 20+ Year Treasury Bond ETF,Long-term Treasuries,Fixed Income ETFs
IEF US,EQUITY,iShares 7-10 Year Treasury Bond ETF,Medium-term Treasuries,Fixed Income ETFs
SHY US,EQUITY,iShares 1-3 Year Treasury Bond ETF,Short-term Treasuries,Fixed Income ETFs
AGG US,EQUITY,iShares Core US Aggregate Bond ETF,Broad bond market,Fixed Income ETFs
LQD US,EQUITY,iShares iBoxx Investment Grade Corporate Bond ETF,Investment grade corporate,Real Estate
VNQ US,EQUITY,Vanguard Real Estate ETF,US REITs,Real Estate
RWX US,EQUITY,SPDR DJ International Real Estate ETF,International REITs,Commodity Indices
BCOM,INDEX,Bloomberg Commodity Index,Broad commodity exposure,Commodity Indices
CRB,INDEX,Reuters/Jefferies CRB Index,Commodity basket,Commodity Indices
GSCI,INDEX,S&P GSCI,Commodity index,Alternative Investments
GBTC US,EQUITY,Grayscale Bitcoin Trust,Bitcoin exposure,Alternative Investments
GLD US,EQUITY,SPDR Gold Shares,Gold ETF,Alternative Investments
SLV US,EQUITY,iShares Silver Trust,Silver ETF,Alternative Investments
USO US,EQUITY,United States Oil Fund,Oil ETF,International Assets
VGIT US,EQUITY,Vanguard Intermediate-Term Treasury ETF,Intermediate Treasuries,International Assets
EMB US,EQUITY,iShares J.P. Morgan USD Emerging Markets Bond ETF,EM debt,International Assets
BNDX US,EQUITY,Vanguard Total International Bond ETF,International bonds,Additional Economic
ISM,INDEX,ISM Manufacturing Index,Manufacturing activity,Additional Economic
NHSPSTOT,INDEX,US Housing Starts,Housing market health,Additional Economic
RSTAMOM,INDEX,US Retail Sales,Consumer spending,Additional Economic
INJCJC,INDEX,Initial Jobless Claims,Labor market stress,Additional Economic
CFNAI,INDEX,Chicago Fed National Activity Index,Economic activity,Global Economic
EUCPEMUY,INDEX,Euro Area CPI,Eurozone inflation,Global Economic
JNCPIYOY,INDEX,Japan CPI YoY,Japan inflation,Global Economic
CNCPIYOY,INDEX,China CPI YoY,China inflation,Global Economic
GDDUEMP,INDEX,Germany Unemployment Rate,German labor market,Global Economic
CHGDPYOY,INDEX,China GDP YoY,China economic growth,
